"TIME","Vramp","Vo_2"
0,-2,5
0.2624,-1.2128,5
0.7424,0.2272,5
0.8224,0.4672,4.99858
0.8846415062,0.653925,4.8628
0.9266258493,0.779878,4.6598
0.9566508042,0.869952,4.50098
0.9854858116,0.956457,4.34366
1.043155826,1.12947,4.02142
1.123155826,1.36947,3.56567
1.203155826,1.60947,3.10469
1.283155826,1.84947,2.64073
1.363155826,2.08947,2.17486
1.443155826,2.32947,1.7642
1.523155826,2.56947,1.92343
1.603155826,2.80947,2.12843
1.683155826,3.04947,2.34121
1.763155826,3.28947,2.55797
1.843155826,3.52947,2.77551
1.923155826,3.76947,2.99373
2,4,3.204
